# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,2.74,0.0,0,1.0,0,0.0,0.0,0.0
 0.14617163633214209,2.010683073634008,2.74,0.0,0.14617163633214209,1.0,0,0.0,0.0,0.0
 0.20644396543125712,2.021309555431491,2.74,0.0,0.20644396543125712,1.0,0,0.0,0.0,0.0
 0.2525068097579761,2.0318798444870754,2.74,0.0,0.2525068097579761,1.0,0,0.0,0.0,0.0
 0.2911849580434695,2.0423943398953885,2.74,0.0,0.2911849580434695,1.0,0,0.0,0.0,0.0
 0.32512594713759063,2.0528534407510577,2.74,0.0,0.32512594713759063,1.0,0,0.0,0.0,0.0
 0.3556896010532496,2.06325754614871,2.74,0.0,0.3556896010532496,1.0,0,0.0,0.0,0.0
 0.3836849102661527,2.073607055182973,2.74,0.0,0.38368491026615276,1.000000000000002,0,0.0,0.0,0.0
 0.4096397611279272,2.0839023669484726,2.74,0.0,0.40963976112792727,1.0,0,0.0,0.0,0.0
 0.43392137661064106,2.094143880539837,2.74,0.0,0.4339213766106411,1.0,0,0.0,0.0,0.0
 0.45679753732193795,2.1043319950516937,2.74,0.0,0.456797537321938,1.0,0,0.0,0.0,0.0
 0.47847070877676234,2.1144671095786687,2.74,0.0,0.4784707087767624,1.0,0,0.0,0.0,0.0
 0.4990984336088222,2.12454962321539,2.74,0.0,0.4990984336088223,1.0,0,0.0,0.0,0.0
 0.5188061970649228,2.134579935056484,2.74,0.0,0.5188061970649229,1.0000000000000029,0,0.0,0.0,0.0
 0.5376959069894034,2.1445584441965786,2.74,0.0,0.5376959069894035,1.0,0,0.0,0.0,0.0
 0.5558516883671417,2.154485549730301,2.74,0.0,0.5558516883671418,1.0,0,0.0,0.0,0.0
 0.573343964391842,2.164361650752277,2.74,0.0,0.5733439643918421,1.0,0,0.0,0.0,0.0
 0.5902324056795527,2.174187146357136,2.74,0.0,0.5902324056795528,1.0,0,0.0,0.0,0.0
 0.606568109348823,2.183962435639503,2.74,0.0,0.6065681093488231,1.0,0,0.0,0.0,0.0
 0.6223952404927368,2.193687917694006,2.74,0.0,0.6223952404927369,1.0,0,0.0,0.0,0.0
 0.6377522898669553,2.2033639916152725,2.74,0.0,0.6377522898669554,1.0,0,0.0,0.0,0.0
 0.6526730521446853,2.2129910564979296,2.74,0.0,0.6526730521446855,1.0000000000000075,0,0.0,0.0,0.0
 0.667187397118086,2.2225695114366033,2.74,0.0,0.6671873971180862,1.0,0,0.0,0.0,0.0
 0.6813218850527584,2.232099755525922,2.74,0.0,0.6813218850527586,1.0,0,0.0,0.0,0.0
 0.6951002630707489,2.241582187860512,2.74,0.0,0.6951002630707491,1.0,0,0.0,0.0,0.0
 0.7085438695451427,2.251017207535002,2.74,0.0,0.7085438695451429,1.0,0,0.0,0.0,0.0
 0.721671966538839,2.2604052136440176,2.74,0.0,0.7216719665388392,1.0,0,0.0,0.0,0.0
 0.7345020153575968,2.2697466052821857,2.74,0.0,0.7345020153575971,1.0,0,0.0,0.0,0.0
 0.7470499066918288,2.279041781544135,2.74,0.0,0.7470499066918289,0.9999999999999911,0,0.0,0.0,0.0
 0.7593301541812907,2.2882911415244913,2.74,0.0,0.7593301541812908,1.0,0,0.0,0.0,0.0
 0.7713560582738456,2.297495084317882,2.74,0.0,0.7713560582738457,1.0,0,0.0,0.0,0.0
 0.7831398457733267,2.306654009018935,2.74,0.0,0.7831398457733267,0.9999999999999906,0,0.0,0.0,0.0
 0.7946927893497927,2.315768314722277,2.74,0.0,0.7946927893497927,1.0,0,0.0,0.0,0.0
 0.8060253104245981,2.324838400522535,2.74,0.0,0.8060253104245981,1.0,0,0.0,0.0,0.0
 0.817147068176024,2.333864665514336,2.74,0.0,0.817147068176024,1.0,0,0.0,0.0,0.0
 0.8280670368905007,2.342847508792307,2.74,0.0,0.8280670368905007,1.0,0,0.0,0.0,0.0
 0.8387935734745183,2.351787329451076,2.74,0.0,0.8387935734745183,1.0,0,0.0,0.0,0.0
 0.8493344766171566,2.3606845265852696,2.74,0.0,0.8493344766171566,1.0,0,0.0,0.0,0.0
 0.8596970388334657,2.3695394992895147,2.74,0.0,0.8596970388334657,1.0,0,0.0,0.0,0.0
 0.8698880924100977,2.3783526466584393,2.74,0.0,0.8698880924100977,1.0,0,0.0,0.0,0.0
 0.8799140501056557,2.387124367786669,2.74,0.0,0.8799140501056557,1.0,0,0.0,0.0,0.0
 0.8897809413207645,2.395855061768833,2.74,0.0,0.8897809413207645,1.0,0,0.0,0.0,0.0
 0.8994944443403267,2.4045451276995564,2.74,0.0,0.8994944443403267,1.0,0,0.0,0.0,0.0
 0.9090599151579268,2.4131949646734685,2.74,0.0,0.9090599151579268,1.0,0,0.0,0.0,0.0
 0.9184824133157852,2.4218049717851944,2.74,0.0,0.9184824133157852,1.0,0,0.0,0.0,0.0
 0.9277667251301505,2.430375548129362,2.74,0.0,0.9277667251301505,1.0,0,0.0,0.0,0.0
 0.9369173846189414,2.4389070928005987,2.74,0.0,0.9369173846189414,1.0,0,0.0,0.0,0.0
 0.9459386924040397,2.4474000048935323,2.74,0.0,0.9459386924040397,1.0,0,0.0,0.0,0.0
 0.9548347328232129,2.455854683502788,2.74,0.0,0.9548347328232127,0.9999999999999876,0,0.0,0.0,0.0
